"gamedate","year","season","gametype","team1","r1_before","score1","score2","team2","r2_before","E1","delta"
"2005-09-12",2005,"秋","東京六大学","東大",1263.5323398106516,0,5,"早稲田",1595.9933344432188,0.15435620575942974,-4.902884014126737
"2005-09-13",2005,"秋","東京六大学","早稲田",1600.8962184573456,21,0,"東大",1258.6294557965248,0.8534571825522879,7.323780588512302
"2005-09-17",2005,"秋","東京六大学","明治",1516.330361183524,9,4,"法政",1535.8222910597508,0.47468564279909287,23.4507915862006
"2005-09-17",2005,"秋","東京六大学","東大",1251.3056752080124,0,4,"立教",1524.808260052346,0.19686192495791754,-5.756068759041466
"2005-09-18",2005,"秋","東京六大学","法政",1512.37149947355,8,5,"明治",1539.7811527697247,0.46423798833220975,20.993586671660676
"2005-09-18",2005,"秋","東京六大学","立教",1530.5643288113874,7,2,"東大",1245.549606448971,0.8136723627179535,6.501455590257571
"2005-09-19",2005,"秋","東京六大学","明治",1518.787566098064,7,9,"法政",1533.3650861452109,0.48085776937044694,-16.078821948359593
"2005-09-25",2005,"秋","東京六大学","慶應",1563.513413450509,3,2,"立教",1537.065784401645,0.5343540757968002,12.745866734108485
"2005-09-25",2005,"秋","東京六大学","法政",1549.4439080935704,3,6,"早稲田",1608.219999045858,0.4235678326057033,-15.383877718556327
"2005-09-26",2005,"秋","東京六大学","早稲田",1623.6038767644143,0,3,"法政",1534.060030375014,0.6158175571361012,-24.996363945076222
"2005-09-26",2005,"秋","東京六大学","立教",1524.3199176675366,3,2,"慶應",1576.2592801846174,0.4324742526751278,17.839857890192103
"2005-09-27",2005,"秋","東京六大学","慶應",1558.4194222944252,6,1,"立教",1542.1597755577288,0.5213659876599412,21.116774343158184
"2005-09-27",2005,"秋","東京六大学","法政",1559.0563943200902,6,1,"早稲田",1598.6075128193381,0.44783745903924727,24.793200774192883
"2005-10-01",2005,"秋","東京六大学","早稲田",1573.8143120451452,5,0,"明治",1502.7087441497044,0.5933652556968215,17.51681094131417
"2005-10-01",2005,"秋","東京六大学","東大",1239.0481508587134,0,2,"慶應",1579.5361966375833,0.14430287890067514,0.7489225751289976
"2005-10-02",2005,"秋","東京六大学","慶應",1578.7872740624543,16,2,"東大",1239.7970734338423,0.8558721955359122,7.139503200247621
"2005-10-02",2005,"秋","東京六大学","明治",1485.1919332083903,7,5,"早稲田",1591.3311229864594,0.362030902993818,23.93438833014634
"2005-10-03",2005,"秋","東京六大学","早稲田",1567.3967346563131,3,1,"明治",1509.1263215385366,0.577455757224315,13.163145618621492
"2005-10-08",2005,"秋","東京六大学","東大",1232.6575702335947,0,6,"法政",1583.8495950942831,0.1352831170490076,-4.858755021634745
"2005-10-08",2005,"秋","東京六大学","立教",1521.0430012145707,3,9,"明治",1495.963175919915,0.5334282160317138,-24.766009970770053
"2005-10-11",2005,"秋","東京六大学","明治",1520.7291858906851,2,3,"立教",1496.2769912438007,0.5327290089957673,-16.100020973736857
"2005-10-11",2005,"秋","東京六大学","法政",1588.708350115918,5,0,"東大",1227.79881521196,0.87161629334487,3.6042590589117465
"2005-10-12",2005,"秋","東京六大学","立教",1512.3770122175376,4,3,"明治",1504.6291649169482,0.5104246472572672,13.942338161085132
"2005-10-15",2005,"秋","東京六大学","早稲田",1580.5598802749346,4,2,"立教",1526.3193503786229,0.5723625434120202,13.41780630923623
"2005-10-15",2005,"秋","東京六大学","法政",1592.3126091748297,4,1,"慶應",1585.926777262702,0.5085321499004037,18.778878593250976
"2005-10-16",2005,"秋","東京六大学","慶應",1567.147898669451,5,6,"法政",1611.0914877680807,0.44131207347158474,-11.529174197527729
"2005-10-16",2005,"秋","東京六大学","立教",1512.9015440693865,2,3,"早稲田",1593.977686584171,0.39236582423883043,-9.081861735890014
"2005-10-22",2005,"秋","東京六大学","東大",1224.194556153048,0,1,"明治",1490.686826755863,0.19314526754438105,0.8791660988324554
"2005-10-22",2005,"秋","東京六大学","立教",1503.8196823334965,2,3,"法政",1622.6206619656084,0.3446744096178402,-6.697291004840501
"2005-10-23",2005,"秋","東京六大学","明治",1489.8076606570305,3,1,"東大",1225.0737222518806,0.8062485147991553,1.7235077398794763
"2005-10-23",2005,"秋","東京六大学","法政",1629.317952970449,4,0,"立教",1497.122391328656,0.672048846151135,12.310530203588838
"2005-10-29",2005,"秋","東京六大学","早稲田",1603.059548320061,5,2,"慶應",1555.6187244719233,0.5636195604161571,16.024508067463305
"2005-10-30",2005,"秋","東京六大学","慶應",1539.59421640446,1,4,"早稲田",1619.0840563875242,0.39406115818441556,-13.90854399749194
"2006-04-08",2006,"春","東京六大学","東大",1223.350214512001,4,7,"法政",1641.6284831740377,0.11650770163177912,-0.030871169860119396
"2006-04-08",2006,"春","東京六大学","立教",1484.8118611250673,3,4,"慶應",1525.685672406968,0.45025104172784997,-11.97612261034099
"2006-04-09",2006,"春","東京六大学","慶應",1537.661795017309,14,2,"立教",1472.8357385147262,0.579155722303659,20.885429792515893
"2006-04-09",2006,"春","東京六大学","法政",1641.6593543438978,19,3,"東大",1223.3193433421409,0.8853338723624551,5.704826444573441
"2006-04-15",2006,"春","東京六大学","東大",1217.6145168975675,0,10,"早稲田",1632.9926003850162,0.11574896146206569,-5.421604002685085
"2006-04-15",2006,"春","東京六大学","立教",1451.9503087222104,4,1,"明治",1491.53116839691,0.45101072937876463,21.654949619332932
"2006-04-16",2006,"春","東京六大学","早稲田",1638.4142043877014,16,1,"東大",1212.1929128948823,0.8912602060629824,5.3933374848053495
"2006-04-16",2006,"春","東京六大学","明治",1469.8762187775772,1,0,"立教",1473.6052583415433,0.495334476762653,14.696846685815842
"2006-04-17",2006,"春","東京六大学","立教",1458.9084116557274,5,8,"明治",1484.573065463393,0.4677000277620672,-17.590487476374523
"2006-04-22",2006,"春","東京六大学","慶應",1558.547224809825,1,5,"法政",1647.3641807884712,0.39149453649470484,-15.48769933588083
"2006-04-22",2006,"春","東京六大学","明治",1502.1635529397677,7,5,"早稲田",1643.8075418725068,0.329071904084311,25.58233827562169
"2006-04-23",2006,"春","東京六大学","早稲田",1618.2252035968852,6,0,"明治",1527.7458912153893,0.6126045405600379,17.464372141182473
"2006-04-23",2006,"春","東京六大学","法政",1662.851880124352,1,1,"慶應",1543.0595254739442,0.6455183287151395,-7.275916435756974
"2006-04-24",2006,"春","東京六大学","慶應",1550.335441909701,0,3,"法政",1655.575963688595,0.37041647716872245,-12.726309946707287
"2006-04-24",2006,"春","東京六大学","明治",1510.281519074207,6,2,"早稲田",1635.6895757380676,0.34536689151387817,28.644627935451684
"2006-04-29",2006,"春","東京六大学","慶應",1537.6091319629938,7,0,"東大",1206.7995754100768,0.839481160443879,6.751870532037479
