"gamedate","gametype","team1","score1","score2","team2"
"2003-04-16","東都1部","東洋大学",11,3,"駒澤大学"
"2003-04-16","東都1部","青山学院大学",6,7,"中央大学"
"2003-04-16","東都2部","国士舘大学",4,0,"國學院大學"
"2003-04-16","東都2部","順天堂大学",2,6,"拓殖大学"
"2003-04-17","東都1部","中央大学",2,7,"青山学院大学"
"2003-04-17","東都1部","駒澤大学",5,2,"東洋大学"
"2003-04-17","東都2部","拓殖大学",6,2,"順天堂大学"
"2003-04-18","東都1部","東洋大学",3,4,"駒澤大学"
"2003-04-18","東都1部","青山学院大学",1,4,"中央大学"
"2003-04-19","東都3部","大正大学",15,4,"芝浦工業大学"
"2003-04-19","東都3部","東京農業大学",16,0,"成蹊大学"
"2003-04-19","東都4部","東京都市大学",0,8,"一橋大学"
"2003-04-20","東都3部","成蹊大学",0,15,"東京農業大学"
"2003-04-20","東都3部","芝浦工業大学",2,3,"大正大学"
"2003-04-20","東都4部","一橋大学",1,2,"東京都市大学"
"2003-04-21","東都2部","國學院大學",5,0,"立正大学"
"2003-04-21","東都2部","専修大学",1,4,"拓殖大学"
"2003-04-22","東都1部","亜細亜大学",2,6,"東洋大学"
"2003-04-22","東都1部","青山学院大学",4,1,"日本大学"
"2003-04-22","東都2部","拓殖大学",7,18,"専修大学"
"2003-04-22","東都2部","立正大学",5,1,"國學院大學"
"2003-04-22","東都3部","芝浦工業大学",9,2,"学習院大学"
"2003-04-23","東都1部","日本大学",0,8,"青山学院大学"
"2003-04-23","東都1部","東洋大学",4,1,"亜細亜大学"
"2003-04-23","東都2部","國學院大學",2,2,"立正大学"
"2003-04-23","東都2部","専修大学",8,3,"拓殖大学"
"2003-04-23","東都3部","上智大学",2,3,"大正大学"
"2003-04-24","東都2部","國學院大學",7,8,"立正大学"
"2003-04-26","東都3部","東京農業大学",13,1,"学習院大学"
"2003-04-26","東都3部","芝浦工業大学",5,1,"上智大学"
"2003-04-26","東都4部","東京都市大学",2,3,"東京科学大学"
"2003-04-27","東都3部","上智大学",8,3,"芝浦工業大学"
"2003-04-27","東都3部","学習院大学",0,15,"東京農業大学"
"2003-04-28","東都2部","専修大学",2,0,"順天堂大学"
"2003-04-28","東都2部","立正大学",1,2,"国士舘大学"
"2003-04-29","東都1部","亜細亜大学",6,2,"駒澤大学"
"2003-04-29","東都1部","日本大学",3,1,"中央大学"
"2003-04-29","東都2部","国士舘大学",0,2,"立正大学"
"2003-04-29","東都2部","順天堂大学",0,10,"専修大学"
"2003-04-29","東都4部","東京都市大学",10,5,"一橋大学"
"2003-05-01","東都1部","中央大学",0,3,"日本大学"
"2003-05-01","東都1部","駒澤大学",6,5,"亜細亜大学"
"2003-05-01","東都2部","立正大学",6,3,"国士舘大学"
"2003-05-02","東都1部","亜細亜大学",9,0,"駒澤大学"
"2003-05-03","東都3部","大正大学",3,1,"学習院大学"
"2003-05-03","東都3部","成蹊大学",0,4,"上智大学"
"2003-05-03","東都4部","東京科学大学",2,1,"東京都市大学"
"2003-05-04","東都3部","上智大学",1,3,"成蹊大学"
"2003-05-04","東都3部","学習院大学",0,8,"大正大学"
"2003-05-04","東都4部","東京都市大学",2,4,"東京科学大学"
"2003-05-05","東都3部","成蹊大学",9,6,"上智大学"
"2003-05-06","東都1部","東洋大学",1,4,"中央大学"
"2003-05-06","東都1部","青山学院大学",6,1,"駒澤大学"
"2003-05-06","東都2部","國學院大學",6,0,"順天堂大学"
"2003-05-06","東都2部","拓殖大学",2,12,"国士舘大学"
"2003-05-07","東都1部","中央大学",5,7,"東洋大学"
"2003-05-07","東都1部","駒澤大学",2,5,"青山学院大学"
"2003-05-07","東都2部","国士舘大学",5,2,"拓殖大学"
"2003-05-07","東都2部","順天堂大学",0,4,"國學院大學"
"2003-05-09","東都1部","東洋大学",0,1,"中央大学"
"2003-05-10","東都3部","大正大学",1,3,"成蹊大学"
"2003-05-10","東都3部","東京農業大学",13,4,"芝浦工業大学"
"2003-05-10","東都4部","東京科学大学",4,1,"一橋大学"
"2003-05-11","東都3部","成蹊大学",2,8,"大正大学"
"2003-05-11","東都3部","芝浦工業大学",1,17,"東京農業大学"
"2003-05-11","東都4部","一橋大学",4,3,"東京科学大学"
"2003-05-12","東都2部","國學院大學",2,1,"拓殖大学"
"2003-05-12","東都2部","専修大学",6,2,"立正大学"
"2003-05-13","東都1部","亜細亜大学",2,3,"日本大学"
"2003-05-13","東都1部","青山学院大学",7,5,"東洋大学"
"2003-05-13","東都2部","拓殖大学",3,2,"國學院大學"
"2003-05-13","東都2部","立正大学",2,3,"専修大学"
"2003-05-14","東都1部","日本大学",0,6,"亜細亜大学"
"2003-05-14","東都1部","東洋大学",3,1,"青山学院大学"
"2003-05-14","東都2部","國學院大學",0,3,"拓殖大学"
"2003-05-14","東都3部","大正大学",1,0,"成蹊大学"
"2003-05-16","東都1部","亜細亜大学",0,0,"日本大学"
"2003-05-16","東都1部","青山学院大学",4,0,"東洋大学"
"2003-05-17","東都3部","上智大学",4,5,"学習院大学"
"2003-05-17","東都3部","芝浦工業大学",6,7,"成蹊大学"
"2003-05-17","東都4部","一橋大学",2,3,"東京都市大学"
"2003-05-18","東都3部","学習院大学",2,3,"上智大学"
"2003-05-18","東都3部","成蹊大学",8,1,"芝浦工業大学"
"2003-05-18","東都4部","東京都市大学",2,5,"一橋大学"
"2003-05-20","東都2部","国士舘大学",4,5,"順天堂大学"
"2003-05-20","東都2部","立正大学",7,5,"拓殖大学"
"2003-05-20","東都4部","一橋大学",5,1,"東京都市大学"
"2003-05-21","東都1部","中央大学",2,1,"駒澤大学"
"2003-05-21","東都1部","亜細亜大学",4,1,"日本大学"
"2003-05-21","東都2部","拓殖大学",9,5,"立正大学"
"2003-05-21","東都2部","順天堂大学",2,6,"国士舘大学"
"2003-05-22","東都1部","駒澤大学",1,8,"中央大学"
"2003-05-22","東都2部","国士舘大学",17,2,"順天堂大学"
"2003-05-22","東都2部","立正大学",5,0,"拓殖大学"
"2003-05-24","東都3部","東京農業大学",9,0,"大正大学"
"2003-05-24","東都3部","芝浦工業大学",2,1,"上智大学"
"2003-05-25","東都3部","大正大学",3,6,"東京農業大学"
"2003-05-26","東都2部","専修大学",3,4,"國學院大學"
"2003-05-27","東都1部","亜細亜大学",6,5,"青山学院大学"
"2003-05-27","東都1部","日本大学",0,1,"東洋大学"
"2003-05-27","東都2部","國學院大學",1,2,"専修大学"
"2003-05-27","東都4部","東京科学大学",1,2,"一橋大学"
"2003-05-28","東都1部","東洋大学",7,5,"日本大学"
"2003-05-28","東都1部","青山学院大学",2,3,"亜細亜大学"
"2003-05-28","東都2部","専修大学",1,4,"國學院大學"
"2003-09-06","東都1部","中央大学",1,2,"日本大学"
"2003-09-06","東都1部","亜細亜大学",2,0,"駒澤大学"
"2003-09-07","東都1部","日本大学",0,15,"中央大学"
"2003-09-07","東都1部","駒澤大学",4,2,"亜細亜大学"
"2003-09-07","東都3部","成蹊大学",1,4,"東京科学大学"
"2003-09-07","東都3部","順天堂大学",3,0,"上智大学"
"2003-09-07","東都4部","学習院大学",7,4,"東京都市大学"
"2003-09-08","東都1部","中央大学",2,4,"日本大学"
"2003-09-08","東都1部","亜細亜大学",7,1,"駒澤大学"
"2003-09-08","東都2部","国士舘大学",2,1,"東京農業大学"
"2003-09-08","東都2部","専修大学",1,6,"拓殖大学"
"2003-09-08","東都3部","上智大学",2,7,"順天堂大学"
"2003-09-08","東都3部","東京科学大学",0,21,"成蹊大学"
"2003-09-08","東都4部","東京都市大学",2,8,"学習院大学"
"2003-09-09","東都2部","拓殖大学",6,5,"専修大学"
"2003-09-09","東都2部","東京農業大学",4,5,"国士舘大学"
"2003-09-10","東都3部","成蹊大学",3,2,"東京科学大学"
"2003-09-13","東都3部","大正大学",2,3,"上智大学"
"2003-09-13","東都3部","芝浦工業大学",7,2,"東京科学大学"
"2003-09-13","東都4部","一橋大学",2,5,"東京都市大学"
"2003-09-14","東都3部","上智大学",4,5,"大正大学"
"2003-09-14","東都3部","東京科学大学",8,3,"芝浦工業大学"
