"gamedate","gametype","team1","score1","score2","team2"
"2001-05-19","東京六大学","立教",5,2,"早稲田"
"2001-05-20","東京六大学","早稲田",2,4,"立教"
"2001-05-20","東京六大学","法政",3,1,"慶應"
"2001-05-21","東京六大学","慶應",3,4,"法政"
"2001-05-26","東京六大学","明治",11,5,"東大"
"2001-05-26","東京六大学","立教",1,3,"法政"
"2001-05-28","東京六大学","東大",0,10,"明治"
"2001-05-28","東京六大学","法政",0,1,"立教"
"2001-05-29","東京六大学","立教",0,2,"法政"
"2001-06-02","東京六大学","慶應",0,9,"早稲田"
"2001-06-03","東京六大学","慶應",3,0,"東大"
"2001-06-03","東京六大学","慶應",0,1,"立教"
"2001-06-03","東京六大学","慶應",1,7,"明治"
"2001-06-03","東京六大学","慶應",4,2,"法政"
"2001-06-03","東京六大学","慶應",3,4,"法政"
"2001-06-03","東京六大学","慶應",0,9,"早稲田"
"2001-06-03","東京六大学","早稲田",2,7,"明治"
"2001-06-03","東京六大学","早稲田",4,2,"法政"
"2001-06-03","東京六大学","早稲田",10,2,"東大"
"2001-06-03","東京六大学","早稲田",2,4,"立教"
"2001-06-03","東京六大学","早稲田",2,1,"慶應"
"2001-06-03","東京六大学","明治",2,3,"早稲田"
"2001-06-03","東京六大学","明治",5,6,"早稲田"
"2001-06-03","東京六大学","明治",2,0,"立教"
"2001-06-03","東京六大学","明治",5,1,"立教"
"2001-06-03","東京六大学","明治",4,0,"慶應"
"2001-06-03","東京六大学","明治",4,5,"法政"
"2001-06-03","東京六大学","明治",11,5,"東大"
"2001-06-03","東京六大学","東大",0,11,"慶應"
"2001-06-03","東京六大学","東大",2,11,"法政"
"2001-06-03","東京六大学","東大",4,6,"早稲田"
"2001-06-03","東京六大学","東大",2,14,"立教"
"2001-06-03","東京六大学","東大",0,10,"明治"
"2001-06-03","東京六大学","法政",9,2,"東大"
"2001-06-03","東京六大学","法政",2,1,"早稲田"
"2001-06-03","東京六大学","法政",1,2,"早稲田"
"2001-06-03","東京六大学","法政",5,1,"明治"
"2001-06-03","東京六大学","法政",3,1,"慶應"
"2001-06-03","東京六大学","法政",0,1,"立教"
"2001-06-03","東京六大学","立教",2,1,"明治"
"2001-06-03","東京六大学","立教",4,0,"慶應"
"2001-06-03","東京六大学","立教",6,1,"東大"
"2001-06-03","東京六大学","立教",5,2,"早稲田"
"2001-06-03","東京六大学","立教",1,3,"法政"
"2001-06-03","東京六大学","立教",0,2,"法政"
"2001-09-08","東京六大学","慶應",6,3,"明治"
"2001-09-08","東京六大学","東大",0,6,"法政"
"2001-09-09","東京六大学","明治",0,2,"慶應"
"2001-09-09","東京六大学","法政",11,0,"東大"
"2001-09-15","東京六大学","東大",0,14,"早稲田"
"2001-09-15","東京六大学","立教",3,4,"明治"
"2001-09-16","東京六大学","早稲田",3,2,"東大"
"2001-09-16","東京六大学","明治",1,8,"立教"
"2001-09-17","東京六大学","立教",1,4,"明治"
"2001-09-22","東京六大学","法政",2,3,"慶應"
"2001-09-22","東京六大学","立教",3,2,"早稲田"
"2001-09-23","東京六大学","慶應",5,1,"法政"
"2001-09-23","東京六大学","早稲田",5,1,"立教"
"2001-09-24","東京六大学","立教",0,1,"早稲田"
"2001-09-29","東京六大学","東大",1,3,"慶應"
"2001-09-29","東京六大学","法政",1,1,"明治"
"2001-09-30","東京六大学","慶應",10,1,"東大"
"2001-09-30","東京六大学","明治",5,0,"法政"
"2001-10-02","東京六大学","法政",6,4,"明治"
"2001-10-03","東京六大学","明治",1,4,"法政"
"2001-10-06","東京六大学","明治",1,1,"早稲田"
"2001-10-06","東京六大学","立教",4,2,"東大"
"2001-10-07","東京六大学","早稲田",0,1,"明治"
"2001-10-07","東京六大学","東大",6,2,"立教"
"2001-10-08","東京六大学","明治",0,5,"早稲田"
"2001-10-09","東京六大学","早稲田",0,1,"明治"
"2001-10-09","東京六大学","立教",8,3,"東大"
"2001-10-13","東京六大学","法政",5,1,"早稲田"
"2001-10-13","東京六大学","立教",1,7,"慶應"
"2001-10-14","東京六大学","慶應",6,1,"立教"
"2001-10-14","東京六大学","早稲田",1,4,"法政"
"2001-10-20","東京六大学","明治",2,0,"東大"
"2001-10-20","東京六大学","法政",3,5,"立教"
"2001-10-21","東京六大学","東大",3,7,"明治"
"2001-10-21","東京六大学","立教",1,3,"法政"
"2001-10-22","東京六大学","法政",5,0,"立教"
"2001-10-27","東京六大学","慶應",2,1,"早稲田"
"2001-10-29","東京六大学","早稲田",6,0,"慶應"
"2001-10-30","東京六大学","慶應",6,3,"明治"
"2001-10-30","東京六大学","慶應",5,1,"法政"
"2001-10-30","東京六大学","慶應",10,1,"東大"
"2001-10-30","東京六大学","慶應",6,1,"立教"
"2001-10-30","東京六大学","慶應",2,1,"早稲田"
"2001-10-30","東京六大学","慶應",1,5,"早稲田"
"2001-10-30","東京六大学","早稲田",3,2,"東大"
"2001-10-30","東京六大学","早稲田",5,1,"立教"
"2001-10-30","東京六大学","早稲田",0,1,"明治"
"2001-10-30","東京六大学","早稲田",1,4,"法政"
"2001-10-30","東京六大学","早稲田",6,0,"慶應"
"2001-10-30","東京六大学","明治",0,2,"慶應"
"2001-10-30","東京六大学","明治",1,8,"立教"
"2001-10-30","東京六大学","明治",5,0,"法政"
"2001-10-30","東京六大学","明治",1,4,"法政"
"2001-10-30","東京六大学","明治",1,1,"早稲田"
"2001-10-30","東京六大学","明治",0,5,"早稲田"
"2001-10-30","東京六大学","明治",2,0,"東大"
"2001-10-30","東京六大学","東大",0,6,"法政"
